timestamp,device_id,sequence,uptime,mq135_raw,anemometer_raw,rssi,snr
2026-01-28T12:23:50.702074,41225,0,6,285,0,-94,12
2026-01-28T12:23:52.103078,41225,0,6,283,0,-95,11
2026-01-28T12:23:56.256426,41225,0,6,301,0,-93,12
2026-01-28T12:23:57.486257,41225,0,6,301,0,-94,12
2026-01-28T12:23:58.706308,41225,0,6,303,0,-94,12
2026-01-28T12:24:01.819950,41225,0,6,302,0,-94,12
2026-01-28T12:24:03.068817,41225,0,6,301,0,-94,12
2026-01-28T12:24:04.275996,41225,0,6,301,0,-94,12
2026-01-28T12:24:05.492115,41225,0,6,302,0,-94,11
2026-01-28T12:24:06.731008,41225,0,6,301,0,-94,12
2026-01-28T12:24:07.952193,41225,0,6,302,0,-94,12
2026-01-28T12:24:10.889624,41225,0,6,301,0,-94,12
2026-01-28T12:24:12.107575,41225,0,6,301,0,-94,12
2026-01-28T12:24:13.346797,41225,0,6,301,0,-94,12
2026-01-28T12:24:14.556260,41225,0,6,299,0,-94,12
2026-01-28T12:24:15.771893,41225,0,6,301,0,-94,12
2026-01-28T12:24:17.007495,41225,0,6,300,0,-94,12
2026-01-28T12:24:18.227861,41225,0,6,303,0,-94,12
2026-01-28T12:24:25.563983,41225,0,6,301,0,-94,12
2026-01-28T12:24:26.777633,41225,0,6,303,0,-93,12
2026-01-28T12:24:28.018472,41225,0,6,303,0,-93,12
2026-01-28T12:24:29.222980,41225,0,6,303,0,-93,12
2026-01-28T12:24:30.445468,41225,0,6,309,24,-93,12
2026-01-28T12:24:31.692354,41225,0,6,309,30,-93,11
2026-01-28T12:24:34.026968,41225,0,6,313,39,-93,12
2026-01-28T12:24:35.222243,41225,0,6,310,0,-94,12
2026-01-28T12:24:36.462676,41225,0,6,310,0,-94,11
2026-01-28T12:24:37.679367,41225,0,6,311,0,-94,12
2026-01-28T12:24:38.891169,41225,0,6,309,0,-94,12
2026-01-28T12:24:40.135720,41225,0,6,310,0,-94,12
2026-01-28T12:24:41.348095,41225,0,6,311,0,-94,12
2026-01-28T12:24:42.557556,41225,0,6,311,0,-93,12
2026-01-28T12:24:44.885068,41225,0,6,308,0,-94,12
2026-01-28T12:24:46.007723,41225,0,6,308,0,-94,12
2026-01-28T12:24:47.224958,41225,0,6,309,0,-94,12
2026-01-28T12:24:48.434248,41225,0,6,308,0,-94,12
2026-01-28T12:24:49.678281,41225,0,6,309,0,-94,12
2026-01-28T12:24:50.889696,41225,0,6,308,0,-94,12
2026-01-28T12:24:52.104117,41225,0,6,307,0,-94,12
2026-01-28T12:24:53.341491,41225,0,6,307,0,-94,12
2026-01-28T12:24:54.556367,41225,0,6,307,0,-94,12
2026-01-28T12:24:57.751323,41225,0,6,304,0,-94,12
2026-01-28T12:24:58.976624,41225,0,6,307,0,-94,12
2026-01-28T12:25:00.177358,41225,0,6,307,0,-94,12
2026-01-28T12:25:01.419509,41225,0,6,307,0,-94,12
2026-01-28T12:25:02.631334,41225,0,6,309,0,-93,12
2026-01-28T12:25:03.843143,41225,0,6,308,0,-94,12
2026-01-28T12:25:06.935882,41225,0,6,309,0,-93,12
2026-01-28T12:25:08.145832,41225,0,6,307,0,-93,11
2026-01-28T12:25:09.363175,41225,0,6,309,0,-93,12
2026-01-28T12:25:10.616941,41225,0,6,309,0,-93,11
